Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.005,16.688,nan,nan,84.200,43.580,39.860,110.000,8.000,558.000,46.000,49.688,166.250,31.000,1069.940,12.090
0.5,0.000,0.005,19.921,nan,nan,99.450,52.740,87.160,112.000,12.000,508.000,46.000,49.781,173.000,31.000,1046.120,11.808
0.5,0.000,0.000,19.975,nan,nan,99.400,53.440,99.300,114.000,14.000,538.000,45.000,49.781,182.375,31.000,1032.640,11.664
0.5,0.000,0.005,19.385,nan,nan,99.200,53.000,99.600,116.000,14.000,508.000,43.000,49.781,191.500,31.000,998.820,11.292
0.5,0.000,0.005,18.120,nan,nan,99.400,51.780,99.600,114.000,14.000,502.000,42.000,49.875,199.750,31.000,943.812,10.676
0.5,0.000,0.000,16.970,nan,nan,99.350,50.340,99.600,114.000,12.000,532.000,45.000,49.875,206.375,31.000,892.407,10.102
0.5,0.000,0.005,16.110,nan,nan,99.400,50.000,99.600,112.000,10.000,514.000,45.000,49.875,211.125,31.000,840.785,9.515
0.5,0.000,0.000,15.645,nan,nan,99.150,49.662,99.600,112.000,10.000,500.000,47.000,50.594,215.500,31.000,813.903,9.210
0.5,0.000,0.005,13.930,nan,nan,89.650,44.200,83.480,110.000,10.000,542.000,46.000,50.094,219.000,31.000,809.700,9.048
0.5,0.000,0.000,3.475,nan,nan,24.700,12.220,8.540,106.000,4.000,450.000,46.000,50.094,220.500,31.000,760.340,6.977
0.5,0.000,0.005,13.255,nan,nan,91.250,43.840,53.280,104.000,4.000,504.000,46.000,50.188,218.375,31.000,805.840,5.964
0.5,0.000,0.000,16.510,nan,nan,99.450,48.780,96.700,108.000,6.000,512.000,46.000,50.188,218.625,31.000,906.080,6.646
0.5,0.000,0.000,19.830,nan,nan,99.750,52.360,99.580,112.000,10.000,524.000,44.000,50.188,222.625,31.000,1050.440,7.680
0.5,0.000,0.005,24.085,nan,nan,99.850,57.360,99.600,118.000,16.000,558.000,44.000,50.281,229.125,31.000,1208.800,8.878
0.5,0.000,0.000,28.125,nan,nan,99.550,60.840,92.340,128.000,26.000,582.000,44.000,50.281,238.000,31.000,1383.720,10.149
0.5,0.000,0.005,34.205,nan,nan,95.500,65.400,59.560,142.000,40.000,572.000,46.000,50.281,248.756,31.000,1582.320,11.612
0.5,0.000,0.005,36.605,nan,nan,81.400,61.600,56.400,158.000,56.000,576.000,46.000,50.500,262.169,31.000,1782.740,13.094
0.5,0.000,0.000,43.450,nan,nan,80.200,63.080,62.420,166.000,64.000,612.000,46.000,50.500,272.597,31.000,1956.960,14.358
0.5,0.000,0.005,58.215,nan,nan,98.433,70.760,91.813,208.000,106.000,610.000,43.000,50.594,284.053,30.000,2230.960,16.369
0.5,0.000,0.005,2.760,nan,nan,8.483,4.940,13.753,156.000,54.000,590.000,47.000,50.594,293.159,31.000,1970.320,16.130
0.5,0.000,0.005,26.245,nan,nan,85.800,50.680,55.100,124.000,22.000,582.000,47.000,50.688,284.347,30.000,1565.860,14.428
0.5,0.000,0.005,41.260,nan,nan,99.750,73.720,96.100,152.000,50.000,582.000,47.000,50.688,283.466,30.000,1666.860,15.265
0.5,0.000,0.005,56.665,nan,nan,99.050,83.060,99.560,194.000,92.000,570.000,46.000,50.875,295.069,31.000,1934.100,17.683
0.5,0.000,0.005,57.995,nan,nan,98.900,70.580,99.600,220.000,120.000,606.000,44.000,51.000,309.756,31.000,2236.080,20.488
0.5,0.000,0.005,22.715,nan,nan,49.350,26.780,51.320,210.000,108.000,590.000,46.000,51.094,317.688,31.000,2289.200,21.399
0.5,0.000,0.005,0.000,nan,nan,0.000,0.000,0.080,124.000,24.000,554.000,45.000,51.188,311.372,31.000,1740.080,19.798
0.5,0.000,0.005,6.470,nan,nan,30.850,13.860,19.020,112.000,10.000,532.000,46.000,51.188,294.334,31.000,1470.700,17.353
0.5,0.000,0.005,27.865,nan,nan,99.800,56.580,91.260,122.000,22.000,536.000,46.000,51.375,283.319,31.000,1473.980,16.652
0.5,0.000,0.005,37.640,nan,nan,99.850,70.560,99.420,146.000,44.000,572.000,46.000,51.500,287.872,31.000,1597.660,17.973
