Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.025,22.755,430.460,12.729,60.200,112.600,64.240,142.000,44.000,602.000,48.000,68.500,283.906,27.000,1837.640,84.118
0.5,0.000,0.020,24.040,500.700,12.105,63.750,120.200,66.400,146.000,50.000,600.000,48.000,68.594,287.578,27.000,1824.080,83.494
0.5,0.000,0.025,24.655,569.600,11.543,66.000,123.057,67.380,150.000,54.000,588.000,48.000,68.594,292.719,27.000,1805.740,82.674
0.5,0.000,0.025,26.275,641.740,11.043,69.900,nan,70.140,154.000,58.000,628.000,48.000,68.594,300.356,27.000,1787.840,81.824
0.5,0.000,0.020,26.930,721.320,10.567,71.250,nan,71.140,158.000,60.000,678.000,48.000,68.594,299.475,27.000,1765.060,80.833
0.5,0.000,0.025,27.225,794.380,10.144,71.100,nan,71.900,160.000,64.000,592.000,48.000,68.594,307.700,27.000,1743.380,79.825
0.5,0.000,0.020,27.285,863.960,9.781,72.350,nan,72.060,160.000,64.000,666.000,48.000,68.594,306.084,27.000,1718.492,78.712
0.5,0.000,0.020,28.360,930.180,9.473,75.400,nan,73.120,162.000,66.000,670.000,48.000,68.594,311.959,27.000,1695.953,77.658
0.5,0.000,0.025,28.555,998.060,9.176,76.650,nan,73.200,164.000,68.000,640.000,48.000,68.594,311.812,27.000,1675.917,76.734
0.5,0.000,0.020,28.890,1057.180,8.894,77.900,nan,73.580,164.000,68.000,576.000,48.000,68.594,313.869,27.000,1654.520,75.778
0.5,0.000,0.020,29.510,1104.240,8.642,79.800,nan,74.320,166.000,70.000,654.000,48.000,68.688,317.981,27.000,1637.560,74.960
0.5,0.000,0.020,29.950,1148.260,8.390,80.900,nan,74.600,168.000,70.000,586.000,48.000,68.688,321.800,27.000,1620.120,74.177
0.5,0.000,0.020,32.260,1187.880,8.150,85.750,nan,76.860,172.000,74.000,652.000,48.000,68.375,331.641,27.000,1604.520,73.456
0.5,0.000,0.020,32.565,1222.920,7.858,87.000,nan,77.200,176.000,78.000,660.000,48.000,68.375,331.641,28.000,1589.280,72.765
