Tempo_unidade_s,Combustivel_usado_unidade_L,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_de_entrada_unidade_kPa,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,0.000,3.555,nan,nan,41.750,58.500,0.000,92.000,0.000,490.000,51.000,49.594,130.234,38.000,675.500,1.095
0.5,0.000,0.000,3.675,nan,nan,41.450,56.567,0.000,92.000,0.000,500.000,51.000,49.594,131.547,38.000,730.670,0.942
0.5,0.000,0.000,3.330,nan,nan,37.183,50.697,0.000,92.000,0.000,532.000,51.000,49.594,132.988,38.000,741.267,1.731
0.5,0.000,0.000,3.350,nan,nan,37.250,50.130,0.000,92.000,0.000,510.000,51.000,49.594,134.562,38.000,756.682,1.532
0.5,0.000,0.000,3.505,nan,nan,39.050,53.010,0.000,92.000,0.000,514.000,51.000,49.688,135.109,38.000,740.258,0.991
0.5,0.000,0.000,3.095,nan,nan,35.000,47.980,0.000,92.000,0.000,526.000,51.000,49.688,135.911,38.000,733.800,0.958
0.5,0.000,0.000,3.610,nan,nan,40.600,56.640,0.000,92.000,0.000,508.000,51.000,49.688,136.750,38.000,707.360,0.899
0.5,0.000,0.000,3.575,nan,nan,40.350,56.140,0.000,92.000,0.000,542.000,51.000,49.688,137.088,38.000,709.600,1.220
0.5,0.000,0.000,3.575,nan,nan,39.800,54.900,0.000,92.000,0.000,562.000,51.000,49.688,138.550,38.000,733.200,0.771
0.5,0.000,0.000,3.345,nan,nan,38.050,53.380,0.000,92.000,0.000,542.000,51.000,49.688,139.438,38.000,701.980,0.828
