Tempo_unidade_s,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_do_oleo_do_motor_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,6.245,1138.170,20.970,30.300,13.060,104.000,584.000,40.000,42.781,84.531,25.000,951.970,0.000
0.5,0.000,6.250,1138.850,20.970,30.100,13.040,104.000,584.000,41.000,42.781,84.859,25.000,951.730,0.000
0.5,0.000,6.200,1139.330,20.970,30.000,13.000,104.000,584.000,41.000,42.875,85.188,25.000,952.700,0.000
0.5,0.000,6.200,1139.710,20.970,30.000,13.000,104.000,584.000,41.000,42.875,85.188,25.000,952.540,0.000
0.5,0.000,6.205,1140.170,20.970,30.000,13.000,104.000,584.000,41.000,42.875,85.406,25.000,952.550,0.000
0.5,0.000,6.200,1140.460,20.970,30.000,13.000,104.000,580.000,41.000,42.875,85.406,25.000,952.180,0.000
0.5,0.000,6.200,1141.010,20.970,30.000,13.000,104.000,584.000,41.000,43.000,85.297,25.000,952.458,0.000
0.5,0.000,6.215,1141.220,20.970,30.000,13.000,104.000,584.000,41.000,43.000,85.625,25.000,952.952,0.000
0.5,0.000,6.200,1141.590,20.970,30.000,13.000,104.000,580.000,41.000,43.000,85.625,25.000,952.774,0.000
0.5,0.000,6.205,1142.560,20.970,30.000,13.000,104.000,580.000,41.000,43.000,85.625,25.000,953.390,0.000
0.5,0.000,6.205,1142.850,20.970,30.000,13.000,104.000,582.000,41.000,43.094,85.625,25.000,951.810,0.000
0.5,0.000,6.290,1143.180,20.970,30.350,13.140,104.000,580.000,41.000,43.094,85.625,25.000,950.930,0.000
0.5,0.000,6.250,1143.610,20.970,30.200,13.130,104.000,580.000,41.000,43.094,85.625,25.000,950.040,0.000
0.5,0.000,6.250,1144.190,20.970,30.100,13.040,104.000,580.000,41.000,43.094,85.625,25.000,951.260,0.000
0.5,0.000,6.290,1144.410,20.970,30.300,13.150,104.000,580.000,41.000,43.188,85.625,25.000,951.110,0.000
0.5,0.000,6.290,1144.790,20.970,30.200,13.110,104.000,580.000,41.000,43.188,85.963,25.000,951.680,0.000
0.5,0.000,6.255,1145.340,20.970,30.300,13.130,104.000,580.000,41.000,43.188,86.638,25.000,952.520,0.000
0.5,0.000,6.255,1145.440,20.970,30.200,13.100,104.000,580.000,41.000,43.188,86.412,25.000,952.180,0.000
0.5,0.000,6.205,1145.900,20.970,30.000,13.000,104.000,580.000,41.000,43.281,86.862,24.800,951.830,0.000
0.5,0.000,6.250,1146.530,20.970,30.100,13.040,104.000,580.000,41.000,43.375,87.088,24.000,951.770,0.000
0.5,0.000,6.205,1146.630,20.970,30.200,13.120,104.000,578.000,41.000,43.375,87.200,24.000,951.940,0.000
0.5,0.000,6.250,1147.000,20.970,30.200,13.141,104.000,576.000,41.000,43.375,87.200,24.000,951.820,0.000
0.5,0.000,6.245,1147.430,20.970,30.100,13.061,104.000,580.000,41.000,43.500,87.425,24.000,952.573,0.000
0.5,0.000,6.200,1148.010,20.970,30.200,13.080,104.000,580.000,41.000,43.500,87.537,24.000,952.690,0.000
0.5,0.000,6.280,1148.360,20.970,30.300,13.180,104.000,578.000,41.000,43.500,87.763,24.000,955.560,0.000
0.5,0.000,6.250,1148.630,20.970,30.100,13.070,104.000,578.000,41.000,43.500,87.763,24.000,953.650,0.000
0.5,0.000,6.245,1148.820,20.970,30.200,13.080,104.000,576.000,41.000,43.594,87.875,24.000,952.960,0.000
0.5,0.000,6.270,1149.240,20.970,30.200,13.110,104.000,578.000,41.000,43.594,87.875,24.000,953.870,0.000
0.5,0.000,6.255,1149.530,20.970,30.300,13.140,104.000,576.000,41.000,43.594,87.875,24.000,953.110,0.000
0.5,0.000,6.215,1149.930,20.970,30.100,13.090,104.000,576.000,41.000,43.594,87.875,24.000,954.150,0.000
0.5,0.000,6.250,1150.180,20.970,30.200,13.070,104.000,576.000,41.000,43.688,87.875,24.000,952.630,0.000
0.5,0.000,6.205,1150.170,20.970,30.100,13.050,104.000,576.000,41.000,43.688,87.875,24.000,952.930,0.000
0.5,0.000,6.210,1150.490,20.970,30.100,13.070,104.000,576.000,41.000,43.688,87.875,24.000,952.860,0.000
0.5,0.000,6.245,1151.120,20.970,30.200,13.070,104.000,576.000,41.000,43.688,87.987,24.000,952.980,0.000
0.5,0.000,2.740,1151.360,20.970,12.950,5.780,104.000,562.000,41.000,43.781,88.325,24.000,851.080,0.000
0.5,0.000,3.855,1151.490,20.970,25.250,11.120,103.600,520.000,41.000,43.781,87.875,24.000,633.020,0.000
0.5,0.000,4.240,1151.680,20.970,27.550,12.000,102.000,540.000,41.000,43.781,87.875,24.000,643.614,0.000
0.5,0.000,4.285,1152.160,20.970,27.950,12.000,102.000,544.000,41.000,43.781,87.875,24.000,648.735,0.000
0.5,0.000,4.365,1152.290,20.970,28.400,12.260,101.800,544.000,41.000,43.875,87.875,24.000,650.269,0.000
0.5,0.000,4.315,1152.530,20.970,28.100,11.960,100.000,550.000,41.000,43.875,87.875,24.000,653.050,0.000
0.5,0.000,4.890,1152.580,20.970,31.900,13.780,100.000,540.000,41.000,43.875,87.875,24.000,645.870,0.000
0.5,0.000,6.530,1152.920,20.970,41.800,18.180,100.600,532.000,41.000,43.875,87.875,24.000,639.090,0.000
0.5,0.000,5.985,1152.870,20.970,37.950,16.160,102.000,544.000,41.000,44.000,87.875,24.000,655.550,0.664
0.5,0.000,5.425,1153.530,20.970,34.750,15.000,102.000,548.000,41.000,44.094,88.100,24.000,654.190,1.244
0.5,0.000,5.540,1153.520,20.970,35.350,15.120,102.000,542.000,41.000,44.094,88.100,24.000,649.770,1.768
0.5,0.000,6.040,1154.050,20.970,38.650,16.810,102.000,540.000,42.000,44.094,88.325,24.000,645.080,2.233
0.5,0.005,7.840,1154.200,20.970,49.900,21.270,102.000,540.000,42.000,44.094,89.112,24.000,678.140,2.913
0.5,0.000,11.375,1154.070,20.970,62.250,25.940,102.000,596.000,42.000,44.188,89.787,24.000,869.800,3.744
0.5,0.000,14.755,1154.580,20.970,59.700,27.130,102.800,596.000,42.000,44.188,91.109,24.000,1094.000,4.754
0.5,0.000,9.640,1154.970,20.970,37.450,17.870,106.000,596.000,42.000,44.188,92.312,24.000,1151.840,5.099
0.5,0.005,9.070,1154.760,20.970,33.400,16.260,106.000,596.000,42.000,44.188,92.763,24.000,1207.560,5.317
0.5,0.000,12.360,1155.210,20.970,44.150,21.790,107.800,596.000,42.000,44.188,93.100,24.000,1200.400,5.307
0.5,0.000,12.485,1155.330,20.970,42.500,21.140,109.000,596.000,42.000,44.281,94.450,24.000,1243.410,5.484
0.5,0.005,12.185,1155.580,20.970,41.400,20.670,110.000,596.000,42.000,44.281,94.562,24.000,1254.181,5.559
0.5,0.000,13.550,1155.835,20.970,45.000,22.590,110.000,596.000,42.000,44.281,94.562,24.000,1271.595,5.609
0.5,0.000,14.055,1155.989,20.970,44.700,22.774,112.000,596.000,42.000,44.281,96.203,24.000,1302.465,5.748
0.5,0.000,14.200,1156.249,20.970,44.650,22.874,112.000,596.000,42.000,44.281,96.641,24.000,1325.508,5.858
0.5,0.005,15.205,1156.571,20.970,45.050,23.510,113.250,596.000,42.000,44.375,96.862,24.000,1364.380,6.024
0.5,0.000,13.305,1156.669,20.970,39.300,20.640,114.000,596.000,42.000,44.375,97.763,24.000,1389.570,6.138
0.5,0.000,13.450,1156.740,20.970,40.000,21.000,114.000,596.000,42.000,44.375,98.100,24.000,1380.330,6.113
0.5,0.005,13.710,1157.130,20.970,40.600,21.330,114.000,596.000,42.000,44.500,98.325,24.000,1384.030,6.143
0.5,0.000,14.025,1157.290,20.970,41.500,21.730,114.000,596.000,42.000,44.500,98.775,24.000,1379.450,6.098
0.5,0.005,13.700,1157.360,20.970,40.600,21.280,114.000,596.000,42.000,44.594,99.000,24.000,1385.060,6.113
0.5,0.000,13.470,1157.720,20.970,39.600,20.790,114.000,596.000,42.000,44.688,99.109,24.000,1400.490,6.189
0.5,0.000,12.765,1157.740,20.970,37.300,19.670,114.000,596.000,42.000,44.688,99.328,24.000,1416.340,6.263
0.5,0.005,12.665,1157.970,20.970,37.000,19.430,114.000,596.000,42.000,44.781,99.656,24.000,1419.640,6.282
0.5,0.000,12.940,1158.160,20.970,38.267,20.180,114.000,596.000,42.000,44.781,100.531,24.000,1397.643,6.179
0.5,0.000,13.590,1158.300,20.970,41.000,21.500,114.000,596.000,42.000,44.875,100.859,24.000,1360.332,6.024
0.5,0.005,14.150,1158.680,20.970,43.267,22.635,114.000,596.000,42.000,44.875,101.300,24.000,1334.934,5.919
0.5,0.000,14.490,1158.560,20.970,44.000,23.000,114.000,596.000,42.000,45.000,101.525,24.000,1333.320,5.898
0.5,0.000,14.425,1158.910,20.970,43.800,22.900,114.000,596.000,42.000,45.000,102.763,24.000,1333.300,5.898
0.5,0.005,13.930,1159.120,20.970,41.950,22.040,114.000,596.000,42.000,45.094,103.325,24.000,1315.760,5.828
0.5,0.000,10.900,1159.190,20.970,37.850,19.400,113.200,582.000,42.000,45.188,103.438,24.000,1219.610,5.444
