Tempo_unidade_s,Distancia_percorrida_pelo_veiculo_unidade_km,Consumo_de_combustivel_unidade_Lporh,Nivel_de_gases_NOx_na_saida_do_catalisador_unidade_ppm,Oxigenio_na_saida_do_catalisador_unidade_%,Porcentagem_de_carga_unidade_%,Porcentagem_de_torque_atual_do_motor_unidade_%,Posicao_do_pedal_do_acelerador_unidade_%,Pressao_do_ar_na_admissao_unidade_kPa,Pressao_do_oleo_do_motor_unidade_kPa,Temperatura_da_agua_unidade_deg_C,Temperatura_dos_gases_de_entrada_no_catalisador_unidade_deg_C,Temperatura_no_coletor_de_admissao_unidade_deg_C,Velocidade_do_motor_unidade_rpm,Velocidade_do_veiculo_unidade_kmporh
0.5,0.000,6.265,nan,nan,62.750,36.720,34.360,7.000,480.000,44.000,25.000,31.000,904.038,9.628
0.5,0.000,5.920,nan,nan,62.700,36.080,33.940,6.000,480.000,44.000,25.000,31.000,901.895,11.964
0.5,0.005,5.920,nan,nan,52.650,32.960,33.020,5.000,480.000,44.000,25.000,31.000,1007.242,13.413
0.5,0.000,6.195,nan,nan,46.450,32.340,33.660,6.000,480.000,44.000,25.000,31.000,1108.380,14.754
0.5,0.010,6.780,nan,nan,45.800,32.900,35.580,6.000,480.000,44.000,25.000,31.000,1224.608,16.298
0.5,0.005,7.925,nan,nan,46.950,33.060,38.800,7.000,480.000,44.000,25.000,31.000,1331.845,17.763
0.5,0.000,8.875,nan,nan,46.300,31.940,39.600,12.000,480.000,44.000,25.000,31.000,1445.355,19.273
0.5,0.010,10.565,nan,nan,51.750,35.900,44.140,16.000,480.000,44.000,25.000,31.500,1572.523,20.943
0.5,0.010,4.820,nan,nan,14.900,9.220,12.540,19.000,480.000,44.000,25.000,32.000,1444.737,21.983
0.5,0.000,2.720,nan,nan,33.950,21.640,24.100,7.000,480.000,44.000,25.000,32.000,988.648,21.813
0.5,0.005,7.295,nan,nan,66.000,41.760,39.360,7.000,480.000,44.000,25.000,32.000,1008.392,22.614
0.5,0.010,8.460,nan,nan,61.950,42.300,40.800,13.000,480.000,44.000,25.000,32.000,1090.433,24.483
0.5,0.005,8.595,nan,nan,57.200,41.460,40.580,16.000,480.000,44.000,25.000,32.000,1169.612,26.278
0.5,0.010,8.320,nan,nan,53.850,39.120,39.620,16.000,480.000,45.000,25.000,32.000,1229.135,27.659
0.5,0.005,8.260,nan,nan,52.000,37.580,39.960,14.000,480.000,45.000,25.000,32.000,1266.550,28.494
